602PT.bam	667PT.bam	M17PT.bam	M20PT.bam	M37PT.bam	M43PT.bam	M49PT.bam	M50PT.bam	M57PT.bam	M60PT.bam	M61PT.bam	M62PT.bam	M69PT.bam	M77PT.bam	M8PT.bam	M97PT.bam	M99PT.bam
ENSG00000004776	119	61	204	5	44	119	246	137	138	154	285	944	289	1479	2540	31	179
ENSG00000004777	761	1254	775	472	653	798	511	929	785	596	1215	892	7956	1379	676	2228	1343
ENSG00000004779	2613	2431	2205	2911	2473	3150	2196	2432	1426	3272	1320	1790	1133	1142	1712	2626	2457
ENSG00000004799	1012	3091	179	764	286	246	1622	735	3339	354	1176	1087	390	1506	6903	204	1671
ENSG00000004809	75	72	0	190	10	7	28	16	5	10	35	7	11	30	26	5	27
ENSG00000004838	76	66	48	99	218	70	29	162	15	59	146	66	62	46	25	160	308
ENSG00000004846	2	5	4	3	1	0	27	19	6	11	13	23	50	15	321	3	23
ENSG00000004848	10	3	2	0	0	2	0	3	273	0	4	1	580	0	164	7	18
ENSG00000004864	1725	2454	3747	2252	1906	3125	4049	2351	4001	3735	2153	1631	4054	3146	1225	2469	1204
ENSG00000004866	1161	1312	823	1048	1117	1312	1386	1423	772	572	838	1085	1088	526	1346	2068	1235
ENSG00000004897	4462	6466	5887	8658	4382	5200	3719	2699	4148	6998	4005	4002	6322	4669	4285	2281	6145
ENSG00000004939	2	0	2	2	3	1	1	0	3	4	1	1	3	3	1	2	3
ENSG00000004948	48	12	30	17	28	19	14	8	22	12	26	26	46	177	81	13	31
ENSG00000004961	1141	2316	1209	1614	854	1502	692	600	902	1186	834	651	1081	1011	965	1034	2250
ENSG00000004975	1315	2517	1834	3605	1187	1831	1585	1813	1540	1319	1948	1967	1578	2758	1715	1804	1769
ENSG00000005001	2	18	48	6	3	0	9	5	4	1	25	2	34	0	3	13	44
ENSG00000005007	6016	13272	4068	4932	7843	4835	8244	5164	3509	6765	4514	4406	13760	8757	4689	5518	8067
ENSG00000005020	2860	4720	4570	3201	6432	3001	7404	6228	3103	5873	2348	3647	1699	4593	3004	2824	2884
ENSG00000005022	8620	17429	6752	12677	5731	9246	5951	5282	9295	11498	4597	4607	12483	4616	3652	5890	9198
ENSG00000005059	1045	2105	2821	1308	1938	2620	1087	1804	1023	905	1043	1550	1478	1192	2174	1872	2411
ENSG00000005073	10	325	30	153	4	7	0	2	6	7	9	21	49	914	31	3	25
ENSG00000005075	1864	1193	1244	1720	1535	1971	1711	1524	1444	1740	651	1115	1417	1393	1156	2020	1291
ENSG00000005100	1822	2232	1436	3696	1663	1532	2000	1804	1603	1511	1629	1292	1886	5572	1316	1655	1445
ENSG00000005102	15	221	162	24	8	17	71	74	32	27	136	180	2	52	827	18	192
ENSG00000005108	259	540	148	223	124	143	193	236	250	193	307	853	270	182	627	240	230
ENSG00000005156	1328	2704	1756	1940	1502	1585	1626	1061	2311	2188	1941	1007	3370	1851	1453	1154	1894
ENSG00000005175	1267	1947	2109	2584	1245	2084	2226	851	1531	1658	1357	1129	2291	3417	1307	625	1802
ENSG00000005187	252	75	348	160	261	47	255	298	171	122	217	195	292	41	120	211	132
ENSG00000005189	197	226	210	375	288	510	205	150	212	547	220	183	337	237	166	252	315
ENSG00000005194	2347	2219	1868	2088	2145	2534	1981	1842	1031	2039	1370	1299	1163	1984	1193	2527	1939
ENSG00000005206	7293	2481	2833	2503	5663	2489	6787	5853	2013	6039	3708	3620	3747	3518	3318	14423	4482
ENSG00000005238	2240	2692	2269	1401	1467	2195	949	1192	1203	858	1236	1921	697	1172	1566	3097	1408
ENSG00000005243	829	353	2701	2170	2280	931	1242	884	1765	1720	1475	7644	876	2373	4874	730	411
ENSG00000005249	343	657	414	1072	172	308	364	433	948	289	1588	372	2518	654	760	162	728
ENSG00000005302	2111	4131	2238	3348	1961	2480	1588	1538	2026	1875	2230	2673	2328	1883	2005	3592	3781
ENSG00000005339	6457	7952	6315	6142	7833	9207	5610	12393	4418	7558	8610	4667	3659	10786	6318	5615	10972
ENSG00000005379	4091	1750	2571	1696	1797	504	1364	1475	3170	454	5034	2345	3889	1226	337	3380	1062
ENSG00000005381	4	92	28	12	2	22	12	42	26	21	65	54	2	20	89	10	36
ENSG00000005421	2	8	9	0	16	1	5	39	10	15	8	5	123	6	27	10	6
ENSG00000005436	1290	633	1470	1136	1023	936	1213	851	1198	1173	1387	847	1615	1511	1001	684	1481
ENSG00000005448	400	850	540	1330	619	1177	576	700	507	495	719	512	964	729	270	1293	824
ENSG00000005469	3188	728	1278	1086	1556	650	2287	1575	1447	1018	915	1107	2668	1307	1057	1727	688
ENSG00000005471	65	102	190	32	57	130	70	107	132	36	71	79	71	78	245	122	102
ENSG00000005483	5269	6892	7658	5397	5471	6439	5381	6767	5978	5277	5962	4136	6532	7612	3673	5679	5689
ENSG00000005486	2540	2726	2954	3904	3124	2386	2559	2792	4305	3279	2025	1695	2512	3474	1663	7483	2342
ENSG00000005513	17	22	34	15	7	28	16	35	69	15	210	61	5	11	119	48	89
ENSG00000005700	5321	7490	6971	4277	5429	8153	5511	3953	5835	6873	5003	4234	2942	6815	4328	3484	6919
ENSG00000005801	1325	1625	1584	1506	1220	838	1370	945	924	1373	1520	1070	3305	924	945	2602	1510
ENSG00000005810	4145	9906	5399	4380	3611	4239	4100	3671	4220	2969	7010	4769	2660	5663	4987	2856	8914
ENSG00000005812	2378	3609	4249	2312	3095	2463	3851	3035	2397	1797	3963	3116	2100	2506	2340	1301	3764
ENSG00000005844	1635	14260	1061	1245	299	2196	949	884	958	736	1090	2896	190	987	1044	6731	7969
ENSG00000005882	1183	573	668	573	937	376	496	640	415	658	1005	730	1026	579	878	358	1103
ENSG00000005884	13920	20993	10403	9872	17366	29953	10451	19531	14661	20972	8945	6213	14898	454	4841	19182	23986
ENSG00000005889	4638	2971	2619	2800	2125	2458	2348	1844	3380	3504	2975	3135	5495	2419	2006	2498	2769
ENSG00000005893	8302	23894	11255	21118	9896	17466	7997	6513	11699	12774	7350	8427	7910	20554	10325	6307	17086
ENSG00000005955	3088	5798	5660	5568	4937	5831	4082	3545	5281	6803	4284	3827	6805	4316	3445	4477	7106
ENSG00000005961	139	37	88	268	117	16	56	83	127	74	85	77	392	259	47	147	49
ENSG00000005981	5	5	9	5	15	1	2	49	7	12	4	1	59	2	404	21	4
ENSG00000006007	2405	6252	4554	3853	3880	4032	3694	3323	2272	3600	2506	2921	1935	2828	2768	2704	4094
ENSG00000006015	1591	2064	2032	783	2137	1100	1458	989	938	1866	790	2529	2075	1464	1661	3118	2482
ENSG00000006016	31	54	168	14	93	20	39	13	174	18	1833	21	50	185	194	22	83
ENSG00000006025	466	1660	1390	884	1195	916	1265	1001	1693	1808	926	1347	1612	645	1943	3002	2087
ENSG00000006042	2925	543	7556	2072	7592	4267	4126	5834	6355	3291	14065	4635	5802	4793	3137	357	657
ENSG00000006047	61	27	79	15	189	13	411	42	24	52	41	8	136	75	20	2513	9
ENSG00000006059	0	0	17	0	0	0	1	0	2	0	2	0	0	0	0	0	0
ENSG00000006062	1283	3089	1837	1546	939	1245	841	914	860	1539	1158	1051	1084	1443	1535	1953	3217
ENSG00000006071	1	9	2	0	1	1	5	1	40	0	4	3	341	4	14	2	141
ENSG00000006074	35	12355	0	10105	24	114	383	13	89	193	57	414	27	111	1345	334	1491
ENSG00000006075	333	1003	20	188	24	172	220	155	48	81	356	90	21	92	292	822	426
ENSG00000006114	2502	7115	4481	4196	3494	3786	2782	2379	4045	4730	4954	3753	5112	3810	2912	3093	6961
